model,topic_id,top_words
LDA,0,"cases, sydney, brisbane, workers, test, changes, million, western, rise, final"
LDA,1,"trump, testing, premier, biden, care, aged, donald, joe, president, take"
LDA,2,"after, victoria, health, south, two, people, year, melbourne, into, more"
LDA,3,"government, minister, scott, news, morrison, election, state, federal, announces, community"
LDA,4,"the, for, and, with, from, vaccine, records, are, how, out"
LDA,5,"national, one, coast, gold, positive, program, wins, charged, afl, system"
LDA,6,"nsw, lockdown, under, open, victorian, residents, trial, amid, local, change"
LDA,7,"covid, new, coronavirus, australia, says, queensland, australian, china, day, australias"
LDA,8,"over, restrictions, man, not, qld, court, christmas, was, who, travel"
LDA,9,"police, has, off, found, its, numbers, been, regional, but, india"
SBERT+HDBSCAN,0,
SBERT+HDBSCAN,1,
SBERT+HDBSCAN,2,
SBERT+HDBSCAN,3,
SBERT+HDBSCAN,4,
SBERT+HDBSCAN,5,
SBERT+HDBSCAN,6,
SBERT+HDBSCAN,7,
SBERT+HDBSCAN,8,
SBERT+HDBSCAN,9,
SBERT+HDBSCAN,10,
SBERT+HDBSCAN,11,
SBERT+HDBSCAN,12,
SBERT+HDBSCAN,13,
SBERT+HDBSCAN,14,
SBERT+HDBSCAN,15,"pic, best, photos, abcmyphoto, past"
SBERT+HDBSCAN,16,
SBERT+HDBSCAN,17,"tuesday, wednesday, monday, thursday"
SBERT+HDBSCAN,18,"sunday, october, november, march, june, july, september, august, february, april"
SBERT+HDBSCAN,19,"markets, monday, tuesday"
SBERT+HDBSCAN,20,"news, making, issues, regional, areas"
SBERT+HDBSCAN,21,"report, market, analysis, activity, trading, robinhood, inside, centre, app"
SBERT+HDBSCAN,22,
SBERT+HDBSCAN,23,"monday, tuesday, thursday, friday, wednesday"
SBERT+HDBSCAN,24,"martin, lakos, markets, wednesday, finance, thursday, lasker, phillip, wrap"
SBERT+HDBSCAN,25,"thursday, friday, wednesday, monday, tuesday, august, march, september, april, october"
SBERT+HDBSCAN,26,stories
SBERT+HDBSCAN,27,"friday, wednesday, tuesday, thursday, monday"
SBERT+HDBSCAN,28,"thursday, tuesday, monday, wednesday, friday"
SBERT+HDBSCAN,29,"wednesday, thursday, tuesday, monday"
SBERT+HDBSCAN,30,"phillip, lasker, tuesday, wednesday, monday, ziffer, daniel, stephen, long, phil"
SBERT+HDBSCAN,31,"tuesday, finance, special, superannuation, retirement, kohlers"
